DateTime_hr,AssetID,TransactionType,MW,DAMspp,RTMspp,SpreadPred,SpreadReal,Costo_tx_USD
2024-08-02 17:00:00,NGBLV4_UNIT_1-SP,OFFER,154,54.94,32.417500019073486,5.8287706,5.705000114440921,4992.295002937317
2024-08-02 14:00:00,NGBCAL_PUN2-PT,OFFER,165,59.4,30.175000190734863,5.081001,5.064999986886978,4978.875031471252
2024-08-02 16:00:00,LSDUKE_GST1CCU-PT,OFFER,160,70.93,31.0625,16.055845,16.085000295639038,4970.0
2024-08-02 22:00:00,LSSCLP_PUN1-SP,OFFER,211,33.45,23.605000019073486,4.949228,4.994999914169313,4980.655004024506
2024-08-02 17:00:00,NGBCAL_PUN2-PT,OFFER,162,58.01,30.75749921798706,23.840849,23.75499996185303,4982.714873313904
2024-08-02 19:00:00,NGBCAL_PUN2-PT,OFFER,54,501.36,92.54249954223631,16.722889,16.592499504089353,4997.294975280761
2024-08-02 18:00:00,NGBLV4_UNIT_1-SP,OFFER,124,115.87,40.13499975204468,14.479103,14.4675,4976.73996925354
2024-08-02 18:00:00,NGBDUKE_GST1CCU-PT,OFFER,124,117.48,40.11500120162964,16.831718,16.837499897480015,4974.260149002075
2024-08-02 21:00:00,LSSCLP_PUN1-SP,OFFER,181,82.05,27.59250020980835,3.4393244,3.422499675750732,4994.242537975311
2024-08-03 14:00:00,NGBCAL_PUN2-PT,OFFER,181,40.92,27.617499828338623,5.060707,5.064999986886978,4998.767468929291
2024-08-03 18:00:00,NGBDUKE_GST1CCU-PT,OFFER,130,54.35,38.34249973297119,16.888153,16.837499897480015,4984.524965286255
2024-08-03 16:00:00,LSDUKE_GST1CCU-PT,OFFER,170,56.65,29.25,16.051226,16.085000295639038,4972.5
2024-08-03 18:00:00,NGBLV4_UNIT_1-SP,OFFER,130,53.88,38.34749984741211,14.505201,14.4675,4985.174980163574
2024-08-03 21:00:00,LSSCLP_PUN1-SP,OFFER,197,46.9,25.33750009536743,3.4000366,3.422499675750732,4991.487518787384
2024-08-03 17:00:00,NGBCAL_PUN2-PT,OFFER,214,48.38,23.300000190734863,23.823393,23.75499996185303,4986.200040817261
2024-08-03 16:00:00,NGBTGCCS_ALL-PT,OFFER,213,46.4,23.46499967575073,8.148566,8.147500081062317,4998.044930934905
2024-08-03 19:00:00,NGBCAL_PUN2-PT,OFFER,95,144.85,52.50500011444092,16.69687,16.592499504089353,4987.975010871887
2024-08-03 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,175,39.92,28.410000324249268,7.8506474,7.88250026702881,4971.750056743622
